Name;Latitude;Longitude;Label
559/2, Street number 24, Bhagat Colony, Sant Nagar, Burari, 11084, Delhi 110084, India;28.742783;77.192722;bad
559/2, Street number 24, Bhagat Colony, Sant Nagar, Burari, 11084, Delhi 110084, India;28.742783;77.192722;good
559/2, Street number 24, Bhagat Colony, Sant Nagar, Burari, 11084, Delhi 110084, India;28.742783;77.192722;good
Q953+P2 Afjalnagar Siti, Uttar Pradesh, India;28.759307;77.352591;bad
PJPF+67 Afrashah Pur, Uttar Pradesh, India;28.735603;77.623129;bad
PJH7+MQ Afrashah Pur, Uttar Pradesh, India;28.729206;77.61446;bad
Gali No 9 Uttaranchal Colony Loni Ghaziabad Loni, Trans Delhi Signature City, Agraula, Uttar Pradesh 201102, India;28.788236;77.277148;good
Main Delhi - Saharanpur Road Patanjali megastore Mall Shop No -13, Saharanpur - Delhi Rd, Trans Delhi Signature City, Agraula, Uttar Pradesh 201102, India;28.785965;77.277504;good
Q7QG+2XQ, Trans Delhi Signature City, Agraula, Uttar Pradesh 201102, India;28.787331;77.27729;bad
Q7QG+2XQ, Trans Delhi Signature City, Agraula, Uttar Pradesh 201102, India;28.787631;77.277243;bad
Q7QG+FRX, Saharanpur - Delhi Rd, Trans Delhi Signature City, Agraula, Uttar Pradesh 201102, India;28.788898;77.277073;bad
VCF4+X6 Alapur, Uttar Pradesh, India;28.874968;77.405548;bad
8/2, 8/2, Ashoka Rd, India Gate, Area, Delhi 110001, India;28.618751;77.220922;good
22/5, 22/5, Dr Rajendra Prasad Rd, India Gate, Area, Delhi 110001, India;28.616576;77.219875;bad
VG56+W4 Arifpur Ujaira, Uttar Pradesh, India;28.859859;77.510262;good
VG59+WR Arifpur Ujaira, Uttar Pradesh, India;28.859859;77.519531;good
VG38+VM Arifpur Ujaira, Uttar Pradesh, India;28.854635;77.516634;bad
QWF2+C6 Asauda Sewan, Haryana, India;28.77357;76.900514;bad
VVF6+X7 Ashrafpur Matindu-R, Haryana, India;28.874968;76.860695;good
PJXF+97 Avvalpur, Uttar Pradesh, India;28.748397;77.623129;bad
Q9P2+VH Badshahpur Sirauli, Uttar Pradesh, India;28.787219;77.351389;bad
Shop No 82 NN, Jhajjar - Bahadurgarh Rd, Model Town, Bahadurgarh, Haryana 124507, India;28.694627;76.933206;bad
New, Najafgarh Rd, near shiv chowk, Basant Vihar, Bahadurgarh, Haryana 124507, India;28.687642;76.933511;bad
192, Nahara - Nahari Rd, Aggarwal Colony, Bahadurgarh, Haryana 124507, India;28.695365;76.93364;bad
Shop, 1, Nahara - Nahari Rd, Model Town, Bahadurgarh, Haryana 124507, India;28.694884;76.933353;bad
H.NO 7/253, Gali No. 6 Model Town, Nahra Nahri Road, Model Town, Bahadurgarh, Haryana 124507, India;28.692353;76.931906;bad
MWXM+2RJ, Aggarwal Colony, Bahadurgarh, Haryana 124507, India;28.697551;76.93465;bad
Near Tirupati mega mart balour chungi, Najafgarh Rd, Killa Mohalla, Bahadurgarh, Haryana 124507, India;28.683764;76.931978;bad
1, Nahara - Nahari Rd, Model Town, Bahadurgarh, Haryana 124507, India;28.692754;76.932136;bad
In Basement Jogi ram saini complex near bahadurgarh city metro station, opposite Metro Pillar No 835, opposite HNG gate & Bal bharti school, Dharampura, Bahadurgarh, Haryana 124507, India;28.690978;76.933487;bad
MWVM+V7F, Nahara - Nahari Rd, Model Town, Bahadurgarh, Haryana 124507, India;28.694662;76.933226;bad
2/384, Street No. 2, Aggarwal Colony, Bahadurgarh, Haryana 124507, India;28.697004;76.934498;bad
Bahadurgarh City, Ram Nagar, Bahadurgarh, Haryana 124507, India;28.690856;76.934515;good
MWGP+6GX, Bank Colony, Arya Nagar, Bahadurgarh, Haryana 124507, India;28.675707;76.936575;bad
MWGP+6GX, Bank Colony, Arya Nagar, Bahadurgarh, Haryana 124507, India;28.67553;76.936704;good
